PN ID	GSC-II ID	RA	DEC	l	b	Epoch	dist	PA	Class
H 1-6	S2300302179	17:06:58.870	-42:41:09.75	344.248	-1.214	1997.249	9.83	125.04	PHOT
H 1-60	S301232169677	18:12:25.155	-27:29:12.96	4.201	-4.398	1996.697	19.29	342.12	ST
H 1-61	S301203046535	18:12:33.977	-24:50:00.28	6.554	-3.162	1996.697	4.07	276.87	ST
H 1-62	S301310224047	18:13:17.951	-32:19:42.74	0.001	-6.850	1996.697	1.03	104.50	ST
H 1-63	S301211253763	18:16:19.336	-30:07:35.98	2.265	-6.395	1987.590	9.68	271.71	ST
H 1-64	S301202373637	18:18:23.908	-23:24:57.15	8.437	-3.662	1996.697	6.01	323.80	PHOT
H 1-65	S30120205144	18:20:08.847	-24:15:05.09	7.884	-4.407	1996.697	0.88	226.64	PHOT
H 1-66	S3012312235	18:24:57.539	-25:41:55.76	7.102	-6.043	1996.697	10.31	280.97	PHOT
H 1-67		18:25:04.976	-22:34:52.64	9.896	-4.635	0.000	7.30	266.46	PHOT
H 1-7	S2300122588	17:10:27.389	-41:52:49.42	345.278	-1.249	1997.249	1.88	63.90	PHOT
H 1-8	S222313377049	17:14:42.902	-33:24:47.21	352.624	3.050	1997.249	0.59	182.44	ST
H 1-9	S222333027511	17:21:31.899	-30:20:48.35	355.971	3.627	1997.321	4.80	90.53	ST
H 2-1	S2223103142	17:04:36.257	-33:59:18.75	350.910	4.403	1997.249	9.53	44.06	PHOT
H 2-10	S222302048546	17:27:32.848	-28:31:06.90	358.223	3.566	1997.321	4.20	216.15	PHOT
H 2-11	S222113020782	17:29:25.947	-25:49:06.64	0.714	4.704	1996.678	16.35	178.91	ST
H 2-12		17:30:35.976	-21:28:56.23	4.516	6.841	0.000	6.01	337.30	PHOT
H 2-13	S22233103593	17:31:08.084	-30:10:28.00	357.271	2.001	1996.678	13.80	229.87	ST
H 2-14	S222031028767	17:32:20.093	-39:51:25.60	349.296	-3.501	1987.650	5.31	357.14	PHOT
H 2-15	S223102040903	17:34:26.817	-22:53:19.71	3.807	5.333	1996.678	0.76	239.21	ST
H 2-16		17:39:55.615	-21:14:13.31	5.889	5.135	0.000	15.70	296.51	GEO
H 2-17		17:40:07.428	-24:25:42.57	3.194	3.412	0.000	6.41	252.58	PHOT
H 2-18	S223103320009	17:43:28.751	-21:09:51.29	6.386	4.467	1996.680	1.95	128.41	ST
H 2-20	S222132229056	17:45:39.767	-25:40:00.04	2.798	1.695	1996.678	130.51	9.44	PHOT
H 2-22	S2231002130050	17:47:33.926	-21:47:23.11	6.344	3.330	1996.680	7.24	104.22	PHOT
H 2-23	S222010161556	17:48:57.994	-34:21:53.28	355.721	-3.417	1996.645	5.38	114.34	PHOT
H 2-24	S22210322426	17:48:36.494	-24:16:34.26	4.334	1.844	1996.678	2.21	236.10	PHOT
H 2-25	S222103263623	17:49:00.481	-23:42:54.59	4.862	2.054	1996.678	1.36	94.58	ST
H 2-26	S222320214325	17:49:50.863	-34:00:15.63	356.125	-3.389	1996.683	0.91	272.46	ST
H 2-27	S2223203159768	17:51:50.576	-33:47:35.59	356.518	-3.638	1996.683	2.05	230.15	PHOT
H 2-29	S22232007339	17:53:16.794	-32:40:38.56	357.634	-3.332	1996.697	2.04	174.32	PHOT
H 2-30		17:56:14.233	-32:37:19.50	357.996	-3.842	0.000	15.50	203.70	GEO
H 2-31	S222131032521	17:56:02.350	-28:14:11.36	1.773	-1.607	1996.697	4.05	101.80	PHOT
H 2-32	S222121360449	17:56:24.319	-29:38:06.40	0.603	-2.378	1996.697	2.49	313.25	ST
H 2-33	S222120153327	17:58:12.535	-31:08:05.99	359.497	-3.464	1996.697	3.25	125.92	PHOT
H 2-35		18:00:18.259	-34:27:39.29	356.813	-5.488	0.000	5.39	118.98	GEO
H 2-36		18:04:07.936	-31:39:13.70	359.666	-4.820	0.000	12.22	272.81	GEO
H 2-37		18:04:28.874	-28:37:34.55	2.355	-3.412	0.000	10.59	229.76	PHOT
H 2-39	S301212272020	18:08:05.759	-28:26:10.50	2.907	-4.014	1996.697	45.98	327.57	PHOT
H 2-40		18:08:30.563	-31:36:34.56	0.156	-5.615	0.000	87.58	235.39	PHOT
H 2-41	S301232152549	18:12:23.765	-27:52:13.86	3.860	-4.576	1996.697	0.37	63.68	PHOT
H 2-42		18:12:23.255	-26:32:54.02	5.025	-3.945	0.000	1.69	246.22	PHOT
H 2-43	S301232116082	18:12:47.953	-28:19:59.67	3.493	-4.874	1996.697	1.37	164.90	ST
H 2-44	S301233056058	18:13:40.562	-26:08:38.73	5.519	-4.007	1996.697	4.27	182.17	PHOT
H 2-45	S301202246191	18:14:28.844	-24:43:38.35	6.855	-3.494	1996.697	6.63	318.28	PHOT
H 2-46	S301313136029	18:18:37.444	-31:54:45.42	0.899	-7.657	1987.590	6.54	196.28	ST
H 2-48	S3032103658	18:46:35.149	-23:26:48.24	11.343	-9.447	1997.326	12.66	261.11	ST
H 2-7	S222302232237	17:23:24.936	-28:59:06.05	357.329	4.057	1997.321	0.88	12.06	ST
