PN ID	GSC-II ID	RA	DEC	l	b	Epoch	dist	PA	Class
He 2-84	S212133015067	12:28:46.822	-63:44:37.22	300.430	-0.982	1997.090	1.84	353.38	PHOT
He 2-85	S212133013433	12:30:07.567	-63:53:00.32	300.590	-1.108	1997.090	1.79	24.65	PHOT
He 2-86	S212101117847	12:30:30.426	-64:52:05.58	300.712	-2.087	1997.090	56.09	359.51	PHOT
He 2-88	S21233338852	13:05:48.211	-57:39:24.26	304.862	5.161	1999.121	4.25	312.39	ST
He 2-9	S1333201551	08:28:27.988	-39:23:40.27	258.138	-0.391	1991.101	2.43	184.92	PHOT
He 2-90	S212302116552	13:09:36.252	-61:19:35.96	305.111	1.469	1991.414	2.52	334.23	PHOT
He 2-96	S21230014598	13:42:36.150	-61:22:29.18	309.023	0.891	1994.186	3.90	242.23	ST
He 2-97	S2131122289	13:45:22.394	-71:28:56.13	307.234	-9.062	1999.140	10.70	50.25	ST
He 2-99	S213122132822	13:52:30.683	-66:23:26.49	309.004	-4.241	1987.393	2.57	125.77	PHOT
He 3-1333	S2113302233	17:09:00.932	-56:54:48.25	332.917	-9.908	1998.460	5.44	122.83	ST
Hf 2-1	S222010192579	17:51:12.149	-34:55:24.31	355.475	-4.097	1987.314	2.19	132.67	PHOT
Hf 2-2	S301301024481	18:32:30.935	-28:43:20.47	5.139	-8.903	1996.697	2.26	106.26	PHOT
Hf 39	S1113013697	10:53:59.586	-60:26:44.31	288.936	-0.805	1988.020	5.24	296.18	CS
Hf 48		11:03:55.979	-60:36:04.57	290.112	-0.434	0.000	2.63	246.97	PHOT
Hu 1-1	N3113112342	00:28:15.614	55:57:54.71	119.671	-6.760	1990.645	1.19	288.94	PHOT
Hu 1-2	N03332031814	21:33:08.349	39:38:09.57	86.543	-8.834	1989.500	9.61	202.54	PHOT
Hu 2-1	N0231231809	18:49:47.562	20:50:39.46	51.485	9.685	1977.270	0.18	247.99	ST
IC 1295		18:54:37.206	-8:49:39.08	25.420	-4.714	0.000	14.34	225.16	GEO
IC 1297	S3323130157	19:17:23.459	-39:36:46.40	358.347	-21.605	1989.512	3.16	259.16	PHOT
IC 1454	N010313229066	22:42:24.997	80:26:31.96	117.557	18.946	1993.566	29.91	63.94	CS
IC 1747	N313310051805	01:57:35.896	63:19:19.36	130.279	1.398	1992.741	1.69	250.56	PHOT
IC 2003	N33301231331	03:56:21.984	33:52:30.59	161.279	-14.891	1993.708	0.34	73.49	PHOT
IC 2149	N3120000111	05:56:23.908	46:06:17.32	166.158	10.475	1991.830	0.62	147.63	PHOT
IC 2165	S1001303169	06:21:42.775	-12:59:13.96	221.325	-12.395	1993.145	4.89	330.47	PHOT
IC 2448	S1133030742	09:07:06.261	-69:56:30.74	285.800	-14.952	1991.131	13.94	359.77	PHOT
IC 2501	S1130210531	09:38:47.213	-60:05:30.92	281.012	-5.697	1992.025	3.44	40.20	PHOT
IC 2553	S1111100784	10:09:20.856	-62:36:48.40	285.464	-5.375	1997.000	9.07	39.40	PHOT
IC 2621	S1112210293	11:00:20.111	-65:14:57.77	291.642	-4.842	1997.126	4.65	313.05	PHOT
IC 289	N313033135782	03:10:19.273	61:19:00.91	138.818	2.804	1993.943	0.66	316.98	PHOT
IC 351	N3330131563	03:47:33.143	35:02:48.50	159.062	-15.191	1991.680	2.68	282.82	PHOT
IC 3568	N1100121275	12:33:06.834	82:33:50.29	123.653	34.538	1961.730	0.27	221.81	PHOT
IC 418	S0202231370	05:27:28.205	-12:41:50.26	215.214	-24.284	1991.640	2.67	39.15	PHOT
IC 4191	S2131313414	13:08:47.343	-67:38:37.67	304.588	-4.828	1997.096	7.56	50.81	PHOT
IC 4406		14:22:26.278	-44:09:04.35	319.688	15.740	0.000	3.22	122.68	GEO
IC 4593	N1023001110	16:11:44.545	12:04:17.06	25.335	40.836	1985.030	10.99	341.72	PHOT
IC 4634	S2233203197	17:01:33.572	-21:49:32.77	0.363	12.215	1996.544	0.44	165.25	PHOT
IC 4637	S2300130241	17:05:10.506	-40:53:08.44	345.481	0.141	1988.289	20.41	303.77	PHOT
IC 4642	S2113300188	17:11:45.025	-55:24:01.47	334.392	-9.345	1998.460	3.49	105.37	PHOT
IC 4663	S230000331154	17:45:28.368	-44:54:15.90	346.263	-8.218	1996.680	5.00	28.17	PHOT
IC 4673	S3012010420	18:03:18.408	-27:06:22.61	3.555	-2.442	1996.686	8.44	317.38	PHOT
IC 4699	S3320032330	18:18:32.024	-45:59:01.70	348.031	-13.853	1996.645	7.79	258.96	PHOT
IC 4732	S3032123975	18:33:54.633	-22:38:40.91	10.772	-6.477	1996.686	1.15	343.94	PHOT
IC 4846	S30313031	19:16:28.220	-9:02:36.57	27.649	-9.641	1998.378	0.02	0.00	ST
IC 4997	N031213115	20:20:08.741	16:43:53.71	58.331	-10.979	1973.450	0.50	146.54	ST
IC 5117	N033121295459	21:32:31.027	44:35:48.53	89.874	-5.134	1989.677	1.17	224.70	ST
IC 5217	N03212021155	22:23:55.725	50:58:00.43	100.624	-5.402	1989.653	0.34	79.04	PHOT
IC 972	S202232041	14:04:25.863	-17:13:40.84	326.762	42.242	1995.406	7.31	26.41	CS
IsWe 1	N332133341261	03:49:05.887	50:00:14.84	149.716	-3.398	1993.801	0.34	41.01	CS
IsWe 2	N013123122816	22:13:22.533	65:53:55.52	107.729	7.809	1991.699	1.45	107.11	CS
J 320	N3031103201	05:05:34.313	10:42:22.73	190.396	-17.760	1990.061	1.43	136.23	PHOT
J 900	N2231320207	06:25:57.275	17:47:27.19	194.244	2.596	1996.775	0.41	299.50	PHOT
JnEr 1	N23021204764	07:57:51.628	53:25:16.96	164.808	31.181	1995.154	8.63	80.45	CS
Jn 1	N00131232479	23:35:53.324	30:28:06.35	104.209	-29.642	1991.760	5.24	146.12	CS
KFL 1		17:59:15.585	-30:02:47.15	0.555	-3.120	0.000	2.16	119.15	PHOT
KFL 10	S301232215671	18:08:01.312	-26:54:01.52	4.247	-3.259	1996.686	2.40	69.64	PHOT
KFL 11	S301232350591	18:10:12.244	-27:16:35.00	4.151	-3.865	1996.697	1.56	139.59	ST
KFL 12	S301232117893	18:10:30.807	-28:19:22.91	3.262	-4.426	1996.697	1.07	340.57	ST
KFL 13	S3012030860	18:12:44.988	-25:44:23.85	5.776	-3.631	1996.697	0.89	344.07	PHOT
KFL 14		18:13:01.106	-29:25:15.59	2.554	-5.430	0.000	8.30	294.94	PHOT
KFL 15	S30120227657	18:14:19.324	-25:20:51.22	6.291	-3.757	1996.697	1.52	42.61	PHOT
KFL 16		18:16:54.015	-26:23:24.22	5.644	-4.760	0.000	4.51	272.80	PHOT
KFL 19	S30121107489	18:23:08.889	-29:43:25.16	3.311	-7.523	1996.697	1.34	78.61	ST
KFL 2	S301212074264	18:00:59.911	-28:16:19.36	2.287	-2.571	1996.697	1.42	302.47	ST
KFL 3		18:02:52.931	-31:23:58.49	359.759	-4.463	0.000	1.27	322.01	GEO
KFL 4	S301232052928	18:02:51.594	-27:41:00.28	3.003	-2.639	1996.697	2.23	198.77	ST
KFL 7	S3012323129455	18:06:49.957	-27:06:16.09	3.940	-3.126	1996.686	1.93	170.86	ST
KFL 9		18:07:19.381	-31:42:56.95	359.941	-5.444	0.000	2.85	357.18	PHOT
K 1-1		08:31:52.633	-32:06:08.69	252.636	4.451	0.000	1.59	339.86	GEO
K 1-10		07:12:35.493	-16:05:59.71	229.642	-2.731	0.000	16.23	357.30	CS
K 1-11	N221203123885	07:36:07.935	02:42:27.74	215.634	11.175	1997.263	21.43	240.52	CS
K 1-12		07:50:11.602	-19:18:16.47	236.770	3.568	0.000	8.40	31.27	GEO
K 1-13	S10232013800	08:06:46.496	-2:52:35.19	224.396	15.312	1985.055	20.29	248.00	CS
K 1-14	N1032033192	17:42:36.757	21:27:02.06	45.607	24.317	1992.566	12.52	157.50	CS
K 1-15	N10123312524	17:44:56.597	27:20:06.64	51.916	25.821	1993.477	6.98	87.09	CS
K 1-16	N0112030573	18:21:52.211	64:21:54.31	94.027	27.428	1991.382	15.06	314.66	CS
K 1-17	N023323099286	19:03:37.362	19:21:22.60	51.576	6.114	1993.489	1.93	284.90	CS
K 1-2	S13331012692	08:57:45.954	-28:57:35.93	253.578	10.780	1993.208	72.54	37.91	CS
K 1-20	N012002125416	23:39:10.842	48:12:29.07	110.692	-12.939	1990.639	23.81	290.47	PHOT
K 1-21		08:04:14.193	-34:16:07.32	251.180	-1.549	0.000	5.69	49.07	GEO
K 1-22		11:26:43.789	-34:22:11.04	283.673	25.314	0.000	9.02	116.74	CS
K 1-23	S23200221039	12:30:52.498	-44:14:15.92	299.052	18.479	1991.414	7.78	216.22	CS
K 1-27	S0101212275	05:57:02.135	-75:40:22.51	286.879	-29.577	1988.142	1.66	347.70	CS
K 1-28	S12220103903	10:34:30.598	-29:11:15.19	270.170	24.836	1990.093	0.68	126.43	CS
K 1-3	S23013116784	16:23:19.018	-31:44:58.95	346.980	12.465	1992.246	22.01	275.35	CS
K 1-4		17:40:27.366	-27:01:02.91	1.035	1.979	0.000	18.54	31.45	GEO
K 1-7	N300330312906	05:31:45.498	06:56:01.58	197.272	-14.239	1992.063	34.76	77.85	PHOT
K 2-1		05:07:09.096	30:49:28.13	173.777	-5.869	0.000	35.24	350.62	GEO
K 2-16	S2222333778	16:44:49.050	-28:04:04.56	352.949	11.396	1997.326	0.88	162.47	CS
K 2-17	S21101336829	17:09:35.921	-52:13:01.97	336.824	-7.237	1991.611	1.39	208.08	CS
K 2-2	N220110224862	06:52:23.174	09:57:55.78	204.151	4.734	1989.850	107.31	94.00	CS
K 2-5		17:54:26.179	-12:48:35.95	14.950	6.461	0.000	25.59	315.82	GEO
K 2-7	S3030012308	19:40:29.101	-20:27:05.92	19.408	-19.659	1991.584	47.85	83.01	CS
K 3-1	N020011156600	18:23:21.721	03:36:27.78	32.956	7.888	1993.401	0.52	322.86	ST
K 3-11	S300303247089	18:41:07.311	-8:55:58.97	23.811	-1.790	1996.615	0.49	118.16	ST
K 3-13	N020120230434	18:45:24.582	02:01:23.85	34.048	2.263	1990.631	0.64	210.90	PHOT
K 3-14	N020110056816	18:48:32.821	10:35:50.74	42.067	5.445	1991.387	0.35	296.59	ST
K 3-15	N020110368055	18:51:41.522	09:54:53.06	41.804	4.447	1991.387	0.68	169.97	PHOT
K 3-16	N023300321330	18:53:01.572	12:15:59.46	44.060	5.213	1987.412	2.76	27.91	PHOT
K 3-17	N02011304009	18:56:18.171	07:07:26.31	39.829	2.167	1987.576	3.76	171.12	PHOT
K 3-18	S300232124911	19:00:34.829	-2:11:57.62	32.016	-3.036	1996.645	7.98	276.63	PHOT
K 3-19	S30021237265	19:01:36.575	-1:19:07.85	32.919	-2.864	1996.645	0.55	73.15	PHOT
K 3-2	S300021140012	18:25:00.576	-1:30:52.64	28.558	5.182	1993.532	0.43	213.83	ST
K 3-20	S300232132133	19:02:10.154	-1:48:45.31	32.542	-3.213	1996.645	6.15	331.76	ST
K 3-21	N023332275650	19:02:40.327	14:28:50.36	47.104	4.117	1990.628	1.63	340.75	PHOT
K 3-22	N023301031702	19:09:26.658	12:00:44.05	45.660	1.523	1987.412	4.49	337.32	PHOT
K 3-24	N023333136750	19:12:05.820	15:09:04.47	48.745	2.399	1990.628	5.09	127.15	PHOT
K 3-26	N0201021364	19:14:39.178	00:13:36.29	35.789	-5.059	1991.674	6.15	78.73	PHOT
K 3-27	N022233174347	19:14:29.973	28:40:45.49	61.096	8.071	1987.472	2.75	155.42	PHOT
K 3-29	N0233122177179	19:15:30.561	14:03:49.83	48.163	1.163	1995.579	0.17	292.10	PHOT
K 3-3	N020012333256	18:27:09.338	01:14:26.88	31.266	5.968	1993.532	3.61	30.45	PHOT
K 3-30	N023202395154	19:16:27.691	05:13:19.47	40.442	-3.157	1992.585	0.08	0.00	ST
K 3-31	N023030321305	19:19:02.666	19:02:20.85	52.963	2.731	1991.530	0.44	303.17	ST
K 3-33	N023211320526	19:22:26.670	10:41:21.39	45.974	-1.913	1992.588	0.01	0.00	ST
K 3-34	N022202367463	19:24:02.735	25:18:47.56	59.064	4.639	1986.669	1.77	29.90	PHOT
K 3-35	N023032246275	19:27:44.036	21:30:03.83	56.098	2.094	1986.672	0.40	214.01	PHOT
K 3-36	N023212074006	19:32:39.557	07:27:51.57	44.322	-5.660	1993.456	12.29	303.75	PHOT
K 3-37	N0222002119569	19:33:46.749	24:32:27.09	59.435	2.331	1986.669	0.26	270.88	ST
K 3-38	N023021351219	19:35:18.354	17:13:00.71	53.201	-1.533	1992.436	2.07	324.48	ST
K 3-39	N0222002135781	19:35:54.469	24:54:48.20	59.995	2.089	1986.669	2.19	342.28	ST
K 3-4		18:31:00.227	02:25:27.35	32.765	5.651	0.000	9.38	25.86	GEO
K 3-40	N0230001123027	19:36:21.828	23:39:47.93	58.953	1.389	1986.669	0.26	205.24	PHOT
K 3-41	N023021258269	19:39:15.877	16:20:48.50	52.904	-2.785	1992.436	46.45	52.00	ST
K 3-42	N023002365086	19:39:36.030	20:19:06.70	56.405	-0.903	1986.672	5.96	217.83	ST
K 3-43		19:40:25.908	18:49:14.20	55.197	-1.812	0.000	11.31	293.99	PHOT
K 3-45	N03010001218	19:46:15.627	24:11:03.67	60.525	-0.318	1996.528	3.45	7.51	PHOT
K 3-46		19:50:00.313	33:45:51.84	69.216	3.808	0.000	3.72	331.32	GEO
K 3-49	N030132097848	19:54:00.702	33:22:12.95	69.302	2.889	1991.593	13.14	195.59	ST
K 3-5	N020322150228	18:31:45.833	04:05:09.12	34.341	6.235	1993.401	3.02	10.55	PHOT
K 3-51	N021131028747	20:02:36.345	17:36:50.99	56.831	-6.962	1992.741	2.94	243.91	PHOT
K 3-52	N033202064177	20:03:11.435	30:32:34.15	67.909	-0.249	1992.487	0.08	0.00	ST
K 3-53	N033203340028	20:03:22.475	27:00:54.73	64.943	-2.160	1992.719	0.50	289.65	ST
K 3-54	N033203214490	20:04:58.639	25:26:37.36	63.802	-3.300	1992.719	0.29	204.54	ST
K 3-55	N03322105023	20:06:56.210	32:16:33.60	69.801	0.004	1992.487	0.25	211.01	PHOT
K 3-56	N030223171563	20:06:55.385	44:14:18.65	79.916	6.424	1990.696	2.52	21.25	PHOT
K 3-57	N03322323194	20:12:47.679	34:20:32.52	72.201	0.104	1991.593	0.49	279.06	ST
K 3-58	N033233366134	20:21:58.324	29:59:22.15	69.678	-3.941	1991.606	2.22	22.77	PHOT
K 3-6	N0200131540	18:33:17.490	00:11:47.19	31.037	4.127	1990.631	0.71	192.11	ST
K 3-60	N012202324216	21:27:26.477	57:39:06.45	98.266	4.907	1990.789	0.16	339.32	ST
K 3-61	N032102175035	21:30:00.710	54:27:27.45	96.318	2.347	1990.789	2.54	344.05	PHOT
K 3-62	N03210309005	21:31:50.203	52:33:51.64	95.222	0.779	1991.762	0.30	261.12	ST
K 3-63	N012201152211	21:39:11.976	55:46:03.94	98.173	2.428	1990.789	2.84	267.01	PHOT
K 3-64	N332123253248	04:13:27.255	51:51:00.92	151.403	0.511	1993.801	1.04	310.72	PHOT
K 3-65	N332122117519	04:15:54.550	48:49:40.61	153.772	-1.407	1993.801	0.27	47.18	ST
K 3-66	N33221303990	04:36:37.243	33:39:29.87	167.464	-9.111	1989.826	0.33	353.45	PHOT
K 3-67	N3322112740	04:39:47.905	36:45:42.85	165.545	-6.574	1989.916	0.45	109.87	ST
K 3-68	N301301025045	05:31:35.856	28:58:41.55	178.328	-2.572	1989.891	3.44	257.40	PHOT
K 3-69	N301033025837	05:41:22.147	39:15:08.09	170.741	4.650	1989.766	0.08	0.00	ST
K 3-7	S3000202178	18:34:13.601	-2:27:36.41	28.778	2.702	1997.271	1.17	158.21	ST
K 3-70	N301203225137	05:58:45.350	25:18:43.86	184.609	0.667	1992.066	0.19	315.08	ST
K 3-71	N222133029739	06:13:54.983	26:52:57.00	184.893	4.404	1997.025	0.17	267.37	PHOT
K 3-72		06:23:54.880	05:30:12.88	204.885	-3.578	0.000	0.57	211.89	GEO
K 3-73	N030233116950	20:03:59.953	49:19:06.15	84.025	9.507	1989.647	9.83	288.65	PHOT
K 3-76	N033222255590	20:25:04.865	33:34:50.70	73.007	-2.429	1991.746	48.32	143.22	PHOT
K 3-78	N033101275823	20:45:22.710	50:22:39.92	88.715	4.619	1989.652	0.19	263.74	ST
K 3-79	N030200012536	20:53:13.535	53:45:41.76	92.119	5.807	1991.675	1.78	46.08	PHOT
K 3-81	N033323379870	21:22:15.382	38:07:15.17	83.940	-8.437	1991.522	14.73	89.92	PHOT
K 3-82		21:30:51.636	50:00:06.96	93.363	-0.991	0.000	2.40	324.04	GEO
K 3-83	N032103012545	21:35:43.877	50:54:16.94	94.545	-0.851	1991.762	2.61	118.46	ST
K 3-84	N032112363484	21:38:49.006	46:00:27.81	91.650	-4.837	1989.677	1.91	332.07	ST
K 3-87	N012333163302	22:55:06.987	56:42:31.14	107.444	-2.624	1990.790	1.10	251.59	ST
K 3-88	N012132313366	23:12:15.494	64:39:17.73	112.569	3.798	1991.765	2.71	307.81	ST
K 3-90	N313212145540	01:24:58.628	65:38:36.14	126.386	2.996	1991.697	1.66	77.48	ST
K 3-91	N313211211697	01:58:35.786	66:34:00.76	129.551	4.562	1992.741	3.07	8.27	PHOT
K 3-92	N313310230702	02:03:41.171	64:57:37.88	130.485	3.153	1992.741	5.15	246.08	PHOT
K 3-93	N313313012933	02:26:30.015	65:47:53.25	132.475	4.703	1992.741	1.88	88.62	PHOT
K 3-94	N313012023479	03:36:08.086	60:03:46.29	142.151	3.487	1993.943	1.30	308.20	PHOT
K 4-16	N023333348233	19:04:51.471	15:47:37.83	48.517	4.243	1990.628	2.03	205.64	PHOT
K 4-19	N0201013383	19:13:22.624	03:25:00.30	38.483	-3.310	1992.585	3.00	4.58	ST
K 4-28	N023020225901	19:30:16.668	14:47:21.84	50.491	-1.647	1992.436	0.43	249.98	ST
K 4-37	N0301013140641	19:51:00.672	31:02:28.77	66.973	2.243	1992.487	2.27	339.48	PHOT
K 4-41	N030132041570	19:56:34.027	32:22:12.96	68.722	1.913	1992.487	0.22	254.19	ST
K 4-47	N312211329431	04:20:45.157	56:18:11.57	149.067	4.451	1990.820	1.59	40.00	PHOT
K 4-48	N220300112687	06:39:55.879	11:06:30.69	201.740	2.523	1989.850	0.41	198.71	ST
K 4-5		18:45:36.655	-6:18:40.08	26.653	-1.583	0.000	24.59	294.99	GEO
K 4-53	N0333030130000	20:42:16.744	37:40:25.58	78.381	-2.802	1993.478	14.67	289.57	PHOT
K 4-55	N033132112070	20:45:10.021	44:39:14.58	84.202	1.091	1992.656	1.87	346.48	PHOT
K 4-57	N012332247711	22:48:34.363	58:29:08.18	107.447	-0.643	1991.672	5.60	132.47	ST
K 4-8	S300220158611	18:54:20.003	-8:47:33.17	25.419	-4.635	1997.329	61.42	164.65	PHOT
KjPn 1	N030220011445	20:12:25.614	40:45:20.03	77.522	3.691	1992.493	5.52	208.80	ST
KjPn 2	N030220065264	20:15:22.209	40:34:44.76	77.682	3.128	1992.493	354.65	348.68	PHOT
KjPn 3	N033220093959	20:17:15.444	38:50:23.40	76.439	1.857	1992.493	8.48	203.04	ST
KjPn 6	N01313133232	22:49:02.175	67:01:38.89	111.388	6.940	1991.683	386.80	278.27	PHOT
KjPn 8	N01213014068	23:24:10.472	60:57:30.75	112.540	-0.140	1991.601	80.66	113.08	PHOT
KoRe 1		16:19:10.503	-57:58:55.48	327.726	-5.491	0.000	52.19	54.13	GEO
LSA 1	S303132388	19:13:55.692	-6:18:52.20	29.838	-7.864	1986.444	1.73	35.81	PHOT
LoTr 10		14:46:20.239	-61:13:35.37	316.313	-1.375	0.000	14.90	144.42	GEO
LoTr 11	S213220212324	15:21:10.381	-72:13:25.83	313.896	-12.618	1992.568	41.53	183.23	CS
LoTr 5	N122220277	12:55:33.745	25:53:30.60	339.896	88.458	1990.090	5.45	118.57	CS
LoTr 7		14:15:24.025	-67:31:55.87	310.845	-5.959	0.000	5.69	252.29	GEO
LoTr 8	S212201345663	14:21:59.958	-55:02:16.70	315.738	5.567	1994.411	4.45	271.40	CS
LoTr 9	S213012228410	14:41:17.939	-61:19:57.58	315.719	-1.218	1997.189	2.33	319.82	CS
Lo 1	S0331332171	02:56:58.401	-44:10:17.92	255.323	-59.620	1990.723	1.69	230.37	CS
Lo 10		15:49:29.128	-52:30:16.50	328.202	1.406	0.000	34.73	115.21	GEO
Lo 11	S230113374911	16:03:22.211	-36:00:53.73	340.897	12.342	1989.567	1.11	276.87	CS
Lo 12	S230111250245	16:08:26.424	-37:08:45.85	340.870	10.820	1989.567	2.64	202.35	CS
Lo 13	S23010139416	16:09:45.916	-30:55:07.66	345.508	15.114	1992.246	70.10	339.52	CS
Lo 16	S222002036859	17:35:41.798	-40:11:26.20	349.363	-4.223	1997.249	40.35	213.38	CS
Lo 17	S301030280500	18:27:49.929	-37:15:51.83	356.884	-11.728	1987.694	20.80	246.59	CS
Lo 18	S312313018401	19:09:47.746	-55:35:10.68	341.223	-24.609	1991.608	38.91	326.60	CS
Lo 4	S13030134391	10:05:45.779	-44:21:33.27	274.311	9.112	1992.246	12.78	149.70	CS
Lo 5	S13002131466	11:13:54.145	-47:57:00.64	286.525	11.790	1995.107	32.82	172.70	CS
Lo 6	S21200017887	12:00:43.477	-47:33:12.14	294.135	14.450	1991.118	1.10	108.85	CS
Lo 8	S232312325	13:25:37.510	-37:36:14.94	310.384	24.773	1993.164	3.04	257.64	CS
Lo 9	S230231292288	15:42:13.340	-47:40:46.33	330.257	5.926	1997.288	1.03	35.84	CS
MA 13	S300333314167	18:30:30.388	-7:27:38.29	23.910	1.219	1988.585	2.86	151.39	ST
MA 2	S30001135903	18:15:13.391	-6:57:12.20	22.587	4.808	1988.607	6.91	276.73	PHOT
MA 3	S30001101991	18:17:49.379	-6:48:21.55	23.022	4.308	1988.607	9.68	255.38	ST
MGP 1	S230120319681	16:48:48.548	-35:00:57.39	348.073	6.317	1997.326	2.07	272.77	PHOT
M 1-1	N3302101150	01:37:19.430	50:28:11.50	130.362	-11.739	1991.760	1.46	332.74	PHOT
M 1-11	S103022378	07:11:16.693	-19:51:02.87	232.838	-4.730	1994.986	0.23	190.45	ST
M 1-12	S1030312255	07:19:21.471	-21:43:55.46	235.385	-3.920	1995.077	0.17	355.29	ST
M 1-13	S1030300489	07:21:14.952	-18:08:36.91	232.416	-1.851	1981.179	1.10	317.82	PHOT
M 1-14	S103033015	07:27:56.510	-20:13:22.89	234.997	-1.442	1995.077	0.67	155.12	ST
M 1-16	S1021102457	07:37:18.955	-9:38:49.67	226.801	5.627	1988.197	1.71	337.16	PHOT
M 1-17	S1023000469	07:40:22.206	-11:32:29.81	228.832	5.367	1988.197	0.30	197.14	PHOT
M 1-18	S1022201697	07:42:04.167	-14:21:13.27	231.497	4.352	1984.973	12.08	275.58	PHOT
M 1-19	S2223102574	17:03:46.809	-33:29:43.75	351.201	4.837	1997.249	9.23	200.55	PHOT
M 1-2	N3302123656	01:58:49.675	52:53:48.57	133.119	-8.637	1989.757	5.96	216.82	PHOT
M 1-22	S223132039675	17:35:10.239	-18:34:20.41	7.573	7.491	1997.244	3.01	302.36	PHOT
M 1-23	S223101330155	17:37:22.003	-18:46:41.87	7.673	6.940	1997.244	6.06	123.25	PHOT
M 1-24	S223101116922	17:38:11.588	-19:37:37.64	7.050	6.327	1997.244	13.08	107.63	PHOT
M 1-25	S223102350198	17:38:30.307	-22:08:38.88	4.941	4.937	1997.244	0.20	64.28	ST
M 1-26	S222122163	17:45:57.653	-30:12:00.58	358.961	-0.721	1996.678	0.29	49.24	PHOT
M 1-27	S22232021192	17:46:45.450	-33:08:35.06	356.533	-2.394	1996.645	0.75	92.43	PHOT
M 1-29	S222123388249	17:50:18.003	-30:34:54.90	359.117	-1.720	1996.697	0.60	171.38	PHOT
M 1-30	S222010371168	17:52:58.946	-34:38:22.99	355.905	-4.269	1996.683	0.79	90.44	PHOT
M 1-31	S223100321322	17:52:41.440	-22:21:56.83	6.456	2.015	1996.680	0.28	30.24	PHOT
M 1-32	S220232058110	17:56:19.980	-16:29:03.95	11.978	4.235	1996.699	6.69	292.42	PHOT
M 1-33	S2202120116630	17:58:58.794	-15:32:14.79	13.119	4.153	1996.699	6.58	252.27	ST
M 1-34	S301210051335	18:01:22.193	-33:17:43.08	357.942	-5.111	1996.683	2.49	116.76	PHOT
M 1-35	S301201319839	18:03:39.255	-26:43:33.47	3.924	-2.323	1996.686	8.73	6.61	ST
M 1-37	S301212065881	18:05:25.801	-28:22:04.19	2.682	-3.468	1996.697	0.78	83.26	PHOT
M 1-38	S301212370360	18:06:05.765	-28:40:29.28	2.485	-3.745	1996.697	5.47	156.60	PHOT
M 1-39	S300123311599	18:07:30.699	-13:28:47.61	15.930	3.358	1996.699	3.97	158.23	PHOT
M 1-4	N332102213191	03:41:43.428	52:17:00.28	147.402	-2.307	1989.765	0.28	295.04	ST
M 1-40	S30320035095	18:08:25.994	-22:16:53.25	8.336	-1.103	1996.702	8.81	272.97	PHOT
M 1-41	S30120313659	18:09:29.902	-24:12:23.46	6.769	-2.249	1996.686	4.74	178.68	PHOT
M 1-42	S301212227655	18:11:05.028	-28:58:59.33	2.740	-4.851	1996.697	3.58	250.95	PHOT
M 1-43	S300103243614	18:11:48.890	-18:46:21.68	11.791	-0.102	1996.702	19.81	342.47	ST
M 1-44	S3012333276	18:16:17.365	-27:04:32.47	4.972	-4.961	1996.697	0.24	121.96	PHOT
M 1-45	S303202267300	18:23:07.984	-19:17:05.26	12.609	-2.700	1996.702	1.77	129.86	ST
M 1-46	S30011231008	18:27:56.339	-15:32:54.43	16.452	-1.975	1996.708	6.86	114.71	PHOT
M 1-47	S3032323417	18:29:11.154	-21:46:53.43	11.046	-5.111	1996.686	2.19	83.78	PHOT
M 1-48	S303231187585	18:29:29.991	-19:05:44.58	13.475	-3.944	1996.686	3.13	267.81	PHOT
M 1-5	N3012030838	05:46:50.000	24:22:02.32	184.047	-2.143	1992.066	0.40	20.07	PHOT
M 1-50	S303233262864	18:33:20.886	-18:16:36.86	14.623	-4.379	1996.686	6.87	356.91	PHOT
M 1-51	S300302111564	18:33:28.943	-11:07:26.41	21.001	-1.124	1996.615	4.74	335.60	PHOT
M 1-52	S303221267060	18:33:58.542	-14:52:25.02	17.724	-2.956	1996.699	2.58	245.49	PHOT
M 1-53	S3032312440	18:35:48.267	-17:36:08.71	15.492	-4.592	1996.686	0.42	5.83	PHOT
M 1-54	S3032211856	18:36:08.357	-16:59:57.02	16.067	-4.389	1996.699	1.88	160.87	PHOT
M 1-55	S3032122270	18:36:42.550	-21:48:59.09	11.809	-6.684	1996.686	115.60	270.93	PHOT
M 1-56	S30322305950	18:37:46.250	-17:05:46.55	16.158	-4.781	1982.554	0.76	108.94	PHOT
M 1-57	S300300259558	18:40:20.248	-10:39:47.17	22.183	-2.408	1996.615	0.60	248.38	PHOT
M 1-58	S3003000362	18:42:56.979	-11:06:53.10	22.072	-3.185	1996.615	0.61	99.13	PHOT
M 1-59	S3003032273	18:43:20.178	-9:04:48.64	23.930	-2.344	1996.615	0.56	144.21	PHOT
M 1-6	S100020122459	06:35:45.140	-00:05:37.37	211.227	-3.532	1990.963	8.24	243.08	PHOT
M 1-60	S303220312861	18:43:38.107	-13:44:48.64	19.797	-4.527	1996.699	0.34	280.15	PHOT
M 1-61	S3032202144	18:45:55.072	-14:27:37.93	19.407	-5.342	1996.699	0.74	71.45	PHOT
M 1-62	S303210326205	18:50:26.030	-22:34:22.54	12.529	-9.871	1997.326	1.26	318.73	ST
M 1-63	S303300185660	18:51:30.935	-13:10:36.81	21.172	-5.983	1996.699	3.58	273.47	PHOT
